timestamp,Aussentemperatur,Ist-Temperatur Heizkreis,Ist-Temperatur Warmwasser,Leistungsaufnahme Heizen gesamt,Leistungsaufnahme Heizen pro Tag,Leistungsaufnahme Warmwasser gesamt,Leistungsaufnahme Warmwasser pro Tag,Puffer-Ist-Temperatur,Puffer-Soll-Temperatur,Rücklauf-Temperatur,Soll-Temperatur Heizkreis,Soll-Temperatur Warmwasser,Vorlauf-Temperatur,Wärmemenge Heizen gesamt,Wärmemenge Heizen pro Tag,Wärmemenge Warmwasser gesamt,Wärmemenge Warmwasser pro Tag
1678760472245,11.100000381469727,25.0,43.099998474121094,520.0,0.0,220.0,0.0,25.0,24.600000381469727,25.0,24.600000381469727,47.5,16.700000762939453,971.0,0.0,675.0,0.0
1678760773248,11.100000381469727,24.5,42.900001525878906,520.0,0.0,220.0,0.0,24.5,24.600000381469727,24.5,24.600000381469727,47.5,16.700000762939453,971.0,0.0,675.0,0.0
1678761074250,11.100000381469727,24.5,42.900001525878906,520.0,0.0,220.0,0.0,25.0,24.600000381469727,25.0,24.600000381469727,47.5,16.700000762939453,971.0,0.0,675.0,0.0
1678761375245,11.100000381469727,24.5,42.79999923706055,520.0,0.0,220.0,0.0,24.5,24.600000381469727,24.5,24.600000381469727,47.5,16.700000762939453,971.0,0.0,675.0,0.0
1678761676243,11.100000381469727,24.5,42.900001525878906,520.0,0.0,220.0,0.0,24.5,24.600000381469727,24.5,24.700000762939453,47.5,16.700000762939453,971.0,0.0,675.0,0.0
1678761977247,11.100000381469727,24.5,42.79999923706055,520.0,0.0,220.0,0.0,24.5,24.600000381469727,24.5,24.600000381469727,47.5,16.700000762939453,971.0,0.0,675.0,0.0
1678762277249,11.100000381469727,24.5,42.79999923706055,520.0,0.0,220.0,0.0,24.5,24.600000381469727,24.5,24.600000381469727,47.5,16.700000762939453,971.0,0.0,675.0,0.0
1678762577250,11.100000381469727,24.5,42.400001525878906,520.0,0.0,220.0,0.0,24.5,24.600000381469727,24.5,24.600000381469727,47.5,38.900001525878906,971.0,0.0,675.0,0.0
1678762878243,11.100000381469727,24.5,42.400001525878906,520.0,0.0,220.0,0.0,24.5,24.600000381469727,24.5,24.600000381469727,47.5,43.5,971.0,0.0,675.0,0.0
1678763178249,11.199999809265137,24.5,42.400001525878906,520.0,0.0,220.0,0.0,25.0,24.5,25.0,24.5,47.5,46.099998474121094,971.0,0.0,675.0,0.0
1678763479247,11.100000381469727,24.5,42.400001525878906,520.0,0.0,220.0,0.0,24.5,24.600000381469727,24.5,24.5,47.5,47.20000076293945,971.0,0.0,675.0,0.0
1678763779249,11.100000381469727,25.0,42.400001525878906,520.0,0.0,220.0,0.0,24.5,24.600000381469727,24.5,24.5,47.5,48.400001525878906,971.0,0.0,675.0,0.0
1678764080243,11.100000381469727,25.0,42.20000076293945,520.0,0.0,220.0,0.0,25.0,24.600000381469727,25.0,24.5,47.5,49.70000076293945,971.0,0.0,675.0,0.0
1678764381245,11.100000381469727,25.0,42.20000076293945,520.0,0.0,220.0,0.0,25.0,24.600000381469727,25.0,24.600000381469727,47.5,49.70000076293945,971.0,0.0,675.0,0.0
1678764682246,11.100000381469727,25.0,42.70000076293945,520.0,0.0,220.0,0.0,25.0,24.600000381469727,25.0,24.600000381469727,47.5,50.79999923706055,971.0,0.0,675.0,0.0
1678764983238,11.100000381469727,25.0,43.20000076293945,520.0,0.0,220.0,0.0,25.0,24.600000381469727,25.0,24.600000381469727,47.5,50.79999923706055,971.0,0.0,675.0,0.0
